{'time': 1.259392499923706, 'x': 0.14603737964273922, 'y': 0.1995621012679698, 'z': 0.046552518153070876, 'yaw': -0.022336567491980652, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2697691917419434, 'x': 0.1460760604532744, 'y': 0.19955283049261344, 'z': 0.046729897577358, 'yaw': -0.022518490500286426, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2802486419677734, 'x': 0.14611407189792003, 'y': 0.19945151347979395, 'z': 0.04652397236804457, 'yaw': -0.021379261988506038, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2892448902130127, 'x': 0.1461674951437924, 'y': 0.19951923951616163, 'z': 0.04662682187059207, 'yaw': -0.021495279478487284, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.299297571182251, 'x': 0.14608116684376704, 'y': 0.19943914096370993, 'z': 0.046584841560924524, 'yaw': -0.02002090194424433, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3103199005126953, 'x': 0.1458755175533016, 'y': 0.19936019976271527, 'z': 0.046733141485025935, 'yaw': -0.014131657986128587, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3196995258331299, 'x': 0.1461287956211319, 'y': 0.19950626083046852, 'z': 0.04661044160847977, 'yaw': -0.022400049692599566, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3302116394042969, 'x': 0.1461414805040307, 'y': 0.19945853953188047, 'z': 0.046683415226897236, 'yaw': -0.023829915773692534, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3395285606384277, 'x': 0.1458565237296075, 'y': 0.19935364829151705, 'z': 0.04673527033299468, 'yaw': -0.019492426103917992, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.350618839263916, 'x': 0.1461602417147688, 'y': 0.1993984276110289, 'z': 0.04677372168800838, 'yaw': -0.02314118850317648, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3596422672271729, 'x': 0.14622878592217006, 'y': 0.19941705791264808, 'z': 0.04654986187028464, 'yaw': -0.023275011017534375, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3689014911651611, 'x': 0.14606221321780885, 'y': 0.19932901130441652, 'z': 0.04676375825265258, 'yaw': -0.024460656669741176, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3789010047912598, 'x': 0.14620654973953315, 'y': 0.1993032543607957, 'z': 0.046763550748854715, 'yaw': -0.023201997987398748, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3895301818847656, 'x': 0.14608717468449775, 'y': 0.199321787258342, 'z': 0.04669038003177791, 'yaw': -0.022946626130209147, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3989310264587402, 'x': 0.1459338775765718, 'y': 0.1992383298837606, 'z': 0.046760516795520665, 'yaw': -0.018870836293320536, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4098341464996338, 'x': 0.14591844992007114, 'y': 0.19926374635744537, 'z': 0.046889633301426266, 'yaw': -0.014581303887664987, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4189157485961914, 'x': 0.14578498890428454, 'y': 0.1992039621289371, 'z': 0.04702585747271476, 'yaw': -0.016542016815122018, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.430016279220581, 'x': 0.14597443588420314, 'y': 0.19923129393178451, 'z': 0.04673365236191819, 'yaw': -0.021765390063634094, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4400522708892822, 'x': 0.14603629137714252, 'y': 0.19923788699650913, 'z': 0.04674139064818274, 'yaw': -0.023098640444961127, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4502670764923096, 'x': 0.1458265983650637, 'y': 0.1991591660347726, 'z': 0.0469374738389149, 'yaw': -0.016247693011055553, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
