{'time': 1.0253636837005615, 'x': 0.031982525069723794, 'y': -0.13283785515451246, 'z': 0.04667666187889064, 'yaw': 0.005635149762440105, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0354056358337402, 'x': 0.031958096317310516, 'y': -0.13282128297362528, 'z': 0.04662329603314954, 'yaw': 0.005277765899137227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0454678535461426, 'x': 0.031937256653220336, 'y': -0.13282751708004395, 'z': 0.04663767473497643, 'yaw': 0.005500796297442576, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0547659397125244, 'x': 0.03195237224052823, 'y': -0.1328353279922461, 'z': 0.04668846928490166, 'yaw': 0.005714989220354379, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0654280185699463, 'x': 0.03193971851891629, 'y': -0.13281635831097388, 'z': 0.0466876691235982, 'yaw': 0.0052864836471140245, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0753681659698486, 'x': 0.03196350262567927, 'y': -0.13282477944880075, 'z': 0.04668300846492364, 'yaw': 0.005838964275430714, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0856339931488037, 'x': 0.03196069686007368, 'y': -0.13280757809953075, 'z': 0.04662342621177791, 'yaw': 0.005439158595263213, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0956356525421143, 'x': 0.031959909597190354, 'y': -0.13282727796816338, 'z': 0.0466682940489313, 'yaw': 0.005876098950169236, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1056454181671143, 'x': 0.03194625766875243, 'y': -0.13284787425116362, 'z': 0.046668996578933655, 'yaw': 0.0060020293933255265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1156339645385742, 'x': 0.031933793049428, 'y': -0.13285217275504646, 'z': 0.04671320278261937, 'yaw': 0.005710146324709911, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1247215270996094, 'x': 0.03195830160400211, 'y': -0.13280939467831565, 'z': 0.04665445663960548, 'yaw': 0.005384592884633586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1348118782043457, 'x': 0.031974691718572396, 'y': -0.1328101872910958, 'z': 0.04664690433312459, 'yaw': 0.005130870895120453, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.146019458770752, 'x': 0.031980633409993964, 'y': -0.1328384729459551, 'z': 0.04667296370248706, 'yaw': 0.005532531133940153, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1548490524291992, 'x': 0.031964791269193236, 'y': -0.1328438304416855, 'z': 0.046693337703564625, 'yaw': 0.005657226674860288, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1658618450164795, 'x': 0.032021141314967166, 'y': -0.1327676432732797, 'z': 0.0466567062951307, 'yaw': 0.00673049414932975, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.174983024597168, 'x': 0.031948669467707184, 'y': -0.13284261822928445, 'z': 0.04668990818568277, 'yaw': 0.005944800938717178, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1850144863128662, 'x': 0.032042946034989556, 'y': -0.13276867173657275, 'z': 0.046635992830761086, 'yaw': 0.007216145483230913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1951355934143066, 'x': 0.0319846825528052, 'y': -0.1328331650582711, 'z': 0.04664848843031335, 'yaw': 0.005337045793508935, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.20534086227417, 'x': 0.03197525900424963, 'y': -0.13282666856739778, 'z': 0.046701176420675616, 'yaw': 0.0057219144590852766, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2164695262908936, 'x': 0.03194446842858421, 'y': -0.1328160931065338, 'z': 0.04665973185959464, 'yaw': 0.005043780387177781, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.22556734085083, 'x': 0.031955390902684164, 'y': -0.13283041918214666, 'z': 0.04671743831325785, 'yaw': 0.005854541958778388, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.235668420791626, 'x': 0.031962952975645546, 'y': -0.1328396714207426, 'z': 0.04669431886312288, 'yaw': 0.005861175261729312, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2451512813568115, 'x': 0.03196588285791984, 'y': -0.13284568806005317, 'z': 0.046652947913639324, 'yaw': 0.005738322782389594, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
