{'time': 1.263672113418579, 'x': 0.1693065598597821, 'y': 0.7660212377754586, 'z': 0.04827250880955032, 'yaw': 0.0027248452453411736, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2728075981140137, 'x': 0.16935933346041404, 'y': 0.766105569144949, 'z': 0.048421504300635104, 'yaw': 0.011005166254845183, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2839014530181885, 'x': 0.1694005486835232, 'y': 0.7661416148984178, 'z': 0.04832508875453224, 'yaw': 0.00619450184790068, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2930190563201904, 'x': 0.16915468192726285, 'y': 0.7660059419337791, 'z': 0.04844684418432532, 'yaw': 0.005807274913887238, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3031232357025146, 'x': 0.16925757414635667, 'y': 0.7660072070032639, 'z': 0.04819779506499327, 'yaw': 0.012027595697767927, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3132977485656738, 'x': 0.16970598106240295, 'y': 0.7661347489918363, 'z': 0.048070057949563906, 'yaw': -0.0036237348282961435, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.322878122329712, 'x': 0.16939363814136468, 'y': 0.7659199086490617, 'z': 0.048450898350906275, 'yaw': 0.0115928749184422, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.33321213722229, 'x': 0.16923596563384294, 'y': 0.7660898324218247, 'z': 0.04843206786996426, 'yaw': 0.005964558723108002, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3432412147521973, 'x': 0.16934518154540487, 'y': 0.7660573422152279, 'z': 0.04845195858534818, 'yaw': 0.010446273311456648, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3543705940246582, 'x': 0.1691613171447412, 'y': 0.7659747491544596, 'z': 0.04819263027709622, 'yaw': 0.0041738846997058055, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3633699417114258, 'x': 0.16925226537794205, 'y': 0.7659021987484272, 'z': 0.048541886161503636, 'yaw': 0.007112548258281505, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3735740184783936, 'x': 0.1690199986727641, 'y': 0.7660268738786128, 'z': 0.04808545819690871, 'yaw': 0.0026584681153821376, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.384026050567627, 'x': 0.16952069371688877, 'y': 0.7661115748759649, 'z': 0.04846410920087176, 'yaw': 0.00746046619839012, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3936936855316162, 'x': 0.16926442259853017, 'y': 0.765990576489434, 'z': 0.048260777751492484, 'yaw': 0.002788882643755149, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4036259651184082, 'x': 0.1693423949613202, 'y': 0.7660770074467849, 'z': 0.048349475878513765, 'yaw': 0.007067613931393727, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4139044284820557, 'x': 0.1694744076060966, 'y': 0.7661337055207725, 'z': 0.0482439621525545, 'yaw': 0.008284799435253554, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4239211082458496, 'x': 0.16934976074347496, 'y': 0.7661088146481896, 'z': 0.04817769123500157, 'yaw': 0.0053364898333158805, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4339683055877686, 'x': 0.16935078585200403, 'y': 0.7660983442473486, 'z': 0.048413502723953374, 'yaw': 0.010621862875797305, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4441564083099365, 'x': 0.1690486183611333, 'y': 0.7659492924814201, 'z': 0.04811990557592769, 'yaw': 0.005564110109874712, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4540822505950928, 'x': 0.16921684216329905, 'y': 0.7660767444947566, 'z': 0.048233788496304976, 'yaw': 0.0008022926989572635, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4633395671844482, 'x': 0.16927971252172025, 'y': 0.7660312369082901, 'z': 0.04847272380027737, 'yaw': 0.008458361981291625, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.4741322994232178, 'x': 0.16943570678093522, 'y': 0.7662364130469869, 'z': 0.048309476938993026, 'yaw': 0.0038483473425357036, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
