{'time': 1.2932989597320557, 'x': 0.053331232439691935, 'y': -0.23529096640703726, 'z': 0.045731252370447735, 'yaw': 0.05113639613852027, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3035337924957275, 'x': 0.05333252952379965, 'y': -0.23529115801293607, 'z': 0.04571682009695912, 'yaw': 0.0513436974040465, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3137760162353516, 'x': 0.05331220814565151, 'y': -0.23528863371919795, 'z': 0.04572935989405141, 'yaw': 0.05120072407555893, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3228988647460938, 'x': 0.053353690070717726, 'y': -0.23530361911214534, 'z': 0.04575843865746926, 'yaw': 0.051015311932669775, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3328497409820557, 'x': 0.05335602737074653, 'y': -0.23529625249119243, 'z': 0.04574076879338066, 'yaw': 0.05108078354150641, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3428070545196533, 'x': 0.05334838055205413, 'y': -0.2353022908793256, 'z': 0.04572133573485708, 'yaw': 0.050935536520826434, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3528985977172852, 'x': 0.053358814397158644, 'y': -0.23530978904493086, 'z': 0.04574945356588336, 'yaw': 0.05102644701610424, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3627347946166992, 'x': 0.05332110694570818, 'y': -0.23529399842588097, 'z': 0.045722284218519746, 'yaw': 0.05115535908173069, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3752632141113281, 'x': 0.053316701459882314, 'y': -0.2352892967387303, 'z': 0.04573055878805553, 'yaw': 0.05109668020633827, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3829519748687744, 'x': 0.05335937584490452, 'y': -0.23530023587341484, 'z': 0.04572389237680314, 'yaw': 0.05101078159614956, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3931469917297363, 'x': 0.05335922515732161, 'y': -0.2353124549244456, 'z': 0.04572576576011303, 'yaw': 0.05098267941714598, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4031651020050049, 'x': 0.053357167818144736, 'y': -0.23530627965898723, 'z': 0.045745877907341914, 'yaw': 0.05095813083951952, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4143173694610596, 'x': 0.05332812200161815, 'y': -0.23529513698803584, 'z': 0.04572745011406734, 'yaw': 0.05110127906317652, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4225718975067139, 'x': 0.053345484536148645, 'y': -0.23530410247437203, 'z': 0.045749057726359524, 'yaw': 0.050983075290936236, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4336133003234863, 'x': 0.05332926518296606, 'y': -0.2352970161843616, 'z': 0.04573897244063124, 'yaw': 0.0512908793164407, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4436397552490234, 'x': 0.05332112504299161, 'y': -0.2352820171496391, 'z': 0.04571248029435419, 'yaw': 0.05123197905450805, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.454268455505371, 'x': 0.053356944702651246, 'y': -0.2352843608602343, 'z': 0.04572980571660616, 'yaw': 0.051148830456711196, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4633324146270752, 'x': 0.05337872878079065, 'y': -0.23533477874420544, 'z': 0.04574424632374335, 'yaw': 0.050548908502139236, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.474337100982666, 'x': 0.05335322995150281, 'y': -0.23530173297448637, 'z': 0.045734715806501604, 'yaw': 0.050831249506960476, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4834492206573486, 'x': 0.05333188479389798, 'y': -0.23530771622400867, 'z': 0.04574671948954457, 'yaw': 0.05074601685035648, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4932844638824463, 'x': 0.05333226695115951, 'y': -0.23529523183200043, 'z': 0.04572190108869036, 'yaw': 0.051209901558170914, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
