{'time': 1.0174546241760254, 'x': 0.048228786840879556, 'y': -0.3356465860433878, 'z': 0.04416263568466232, 'yaw': -0.00823630730514946, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0264782905578613, 'x': 0.04821721903697594, 'y': -0.3356552911293511, 'z': 0.044198274469808556, 'yaw': -0.008393387636427718, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0365076065063477, 'x': 0.04820668538019071, 'y': -0.33565118182413095, 'z': 0.04418954397989468, 'yaw': -0.008282476608010292, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0475349426269531, 'x': 0.04820429483155622, 'y': -0.33564496425770846, 'z': 0.044152934408523775, 'yaw': -0.00815171529591563, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0563571453094482, 'x': 0.04824150870441406, 'y': -0.3356411052903222, 'z': 0.04416531071736059, 'yaw': -0.008374040030030727, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0670166015625, 'x': 0.04820981873120627, 'y': -0.3356544017984663, 'z': 0.04415387443111667, 'yaw': -0.008047921415084147, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0780484676361084, 'x': 0.04820172309508874, 'y': -0.3356520152728099, 'z': 0.044165805064273894, 'yaw': -0.00818723359009077, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0871167182922363, 'x': 0.04821704571453124, 'y': -0.335639421525118, 'z': 0.044188917119795085, 'yaw': -0.008311384744286165, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0970616340637207, 'x': 0.048220132498736384, 'y': -0.335651284598718, 'z': 0.044164362353908235, 'yaw': -0.008341880827290815, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1070866584777832, 'x': 0.04820688138339444, 'y': -0.3356536739439411, 'z': 0.044169504728830224, 'yaw': -0.008190118840543548, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1175787448883057, 'x': 0.04822423127774534, 'y': -0.33563789328985166, 'z': 0.04418811403591449, 'yaw': -0.007988691917745427, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1273927688598633, 'x': 0.04821412824840864, 'y': -0.3356377350653698, 'z': 0.044151021817468515, 'yaw': -0.008694149992410694, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.137434720993042, 'x': 0.04821598735287391, 'y': -0.3356534469601968, 'z': 0.04417459991525338, 'yaw': -0.008027292579707357, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.148465871810913, 'x': 0.04821282339790827, 'y': -0.3356581868371756, 'z': 0.044174586177402365, 'yaw': -0.008275661992036554, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1568326950073242, 'x': 0.048219384240755274, 'y': -0.335637963643988, 'z': 0.04418370477622035, 'yaw': -0.008242042398917349, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.166966438293457, 'x': 0.04820339163198721, 'y': -0.3356547391690027, 'z': 0.04416551807255208, 'yaw': -0.00813317167264227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1776862144470215, 'x': 0.04822829908821884, 'y': -0.33564567519356087, 'z': 0.04415178678726273, 'yaw': -0.008211908057028872, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.186713457107544, 'x': 0.04818390584355293, 'y': -0.33562590043457746, 'z': 0.0441868878592541, 'yaw': -0.007924990044926972, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1977508068084717, 'x': 0.04819695188755233, 'y': -0.3356447601997422, 'z': 0.04417684404370506, 'yaw': -0.008330648810296992, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.207972764968872, 'x': 0.04822090230790312, 'y': -0.33564697034827323, 'z': 0.04414871547264422, 'yaw': -0.008365146163845871, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.216991662979126, 'x': 0.04823593419414458, 'y': -0.3356558551794627, 'z': 0.044187159079960764, 'yaw': -0.008131208799424527, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2270209789276123, 'x': 0.04820645835583766, 'y': -0.335648261353347, 'z': 0.04416421427004229, 'yaw': -0.008210829541217102, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.238112449645996, 'x': 0.04823402873925118, 'y': -0.3356404849235482, 'z': 0.044158081865185154, 'yaw': -0.008304103583009592, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2481732368469238, 'x': 0.04822430188648233, 'y': -0.3356394207120052, 'z': 0.044180683241584216, 'yaw': -0.008374891050387134, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2571847438812256, 'x': 0.048185973500295895, 'y': -0.33563233297531303, 'z': 0.04417179083455333, 'yaw': -0.007967881087965978, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2675247192382812, 'x': 0.04819726650452262, 'y': -0.3356364861555385, 'z': 0.04417224287746764, 'yaw': -0.008190339091053822, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.277287244796753, 'x': 0.04822645023307549, 'y': -0.33564750588624587, 'z': 0.04416964032592011, 'yaw': -0.008085504691857537, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2876765727996826, 'x': 0.04822618242735362, 'y': -0.33564808929645584, 'z': 0.044151296984140845, 'yaw': -0.00830247805911899, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2981877326965332, 'x': 0.04822539155708171, 'y': -0.3356445874608384, 'z': 0.04416745636313491, 'yaw': -0.008078551860315919, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.308838129043579, 'x': 0.04817556941977196, 'y': -0.3356343254316283, 'z': 0.04418187826872945, 'yaw': -0.008065297341707911, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3179879188537598, 'x': 0.04821762658699838, 'y': -0.33564862322964084, 'z': 0.04415997548002631, 'yaw': -0.008470007487266784, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3281962871551514, 'x': 0.04823113986874455, 'y': -0.33563074595422754, 'z': 0.04417038266287226, 'yaw': -0.008437191618788198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3371996879577637, 'x': 0.04822146490306895, 'y': -0.33564462461190736, 'z': 0.04416721464321498, 'yaw': -0.008319177625470964, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3479974269866943, 'x': 0.04820795435715556, 'y': -0.3356509591509159, 'z': 0.044176711150524454, 'yaw': -0.008152706432261958, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3579013347625732, 'x': 0.04821960787895982, 'y': -0.3356421775110499, 'z': 0.04419019713959848, 'yaw': -0.008178289711588071, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3676254749298096, 'x': 0.048213497988300866, 'y': -0.3356457422798421, 'z': 0.04417442698209517, 'yaw': -0.008284074793963647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
