{'time': 1.1651370525360107, 'x': 0.10563877981541246, 'y': 0.0008456258176868163, 'z': 0.6528278799965739, 'yaw': 1.3732616301733487, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1706511974334717, 'x': 0.10566771165241522, 'y': 0.000867493057064916, 'z': 0.6528223909060229, 'yaw': 1.3729776069731139, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.175750494003296, 'x': 0.10569181978479963, 'y': 0.0008582923526332113, 'z': 0.6528119940821839, 'yaw': 1.3727438369182887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1813275814056396, 'x': 0.10566546868066287, 'y': 0.0008412380252705862, 'z': 0.6527952597315393, 'yaw': 1.3737230038612154, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.186429500579834, 'x': 0.10566015028236364, 'y': 0.0008360040552956214, 'z': 0.6527922539761905, 'yaw': 1.37353278893143, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.191943883895874, 'x': 0.10565246136351386, 'y': 0.0008436163213232059, 'z': 0.6528020085046774, 'yaw': 1.3734231041117586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1974587440490723, 'x': 0.10567622645622286, 'y': 0.0008527483595863016, 'z': 0.6528177333711649, 'yaw': 1.3729191792595787, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.202622413635254, 'x': 0.10566585229543876, 'y': 0.0008540329791001969, 'z': 0.6528133043686862, 'yaw': 1.37335434914381, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.207766056060791, 'x': 0.1056529595061707, 'y': 0.0008539560063876606, 'z': 0.6528445569250361, 'yaw': 1.3731723995990601, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.212883710861206, 'x': 0.10566227425631104, 'y': 0.0008438232130576124, 'z': 0.6528388747168588, 'yaw': 1.373036742022913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.218398094177246, 'x': 0.10565771019203068, 'y': 0.0008457752174107156, 'z': 0.6528240418301469, 'yaw': 1.3735397772021345, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2239124774932861, 'x': 0.10564723916191107, 'y': 0.0008488847198263621, 'z': 0.6528191936513427, 'yaw': 1.372945174103836, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2294273376464844, 'x': 0.10566966149196225, 'y': 0.0008627207657461038, 'z': 0.6528066923250833, 'yaw': 1.3735797468889572, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2345430850982666, 'x': 0.10567780204508664, 'y': 0.0008418584062654619, 'z': 0.6527915011294052, 'yaw': 1.3732123988539973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2400577068328857, 'x': 0.10566416898672785, 'y': 0.0008434034142466475, 'z': 0.6527955064306942, 'yaw': 1.3733829229673868, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
