{'time': 1.2609665393829346, 'x': 0.18921719231069192, 'y': -0.3627999955081614, 'z': 0.0469632827650889, 'yaw': 0.031136497652317588, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2711150646209717, 'x': 0.18935063534112975, 'y': -0.36266523257968697, 'z': 0.04659353343157036, 'yaw': 0.03846416785553548, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2802565097808838, 'x': 0.18947192659565174, 'y': -0.3627101853589538, 'z': 0.046787170952609515, 'yaw': 0.0338178813261147, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.29038667678833, 'x': 0.1893943677457635, 'y': -0.3627137229679229, 'z': 0.046660599670075416, 'yaw': 0.03413239207467339, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.301349401473999, 'x': 0.1889931129329408, 'y': -0.3629128759776126, 'z': 0.04685077171085242, 'yaw': 0.03609913051755418, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3106951713562012, 'x': 0.1893160085425055, 'y': -0.36268942246814206, 'z': 0.046747370650823995, 'yaw': 0.03257692420792791, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3207221031188965, 'x': 0.189247355969531, 'y': -0.36278519213434823, 'z': 0.0466966911099937, 'yaw': 0.03720427293151686, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3305487632751465, 'x': 0.18912350707050024, 'y': -0.36301368849128174, 'z': 0.046712207333092566, 'yaw': 0.03920863587858435, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3406367301940918, 'x': 0.18901877625468655, 'y': -0.3628895945975532, 'z': 0.04665952704069538, 'yaw': 0.03730098066849527, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.3507413864135742, 'x': 0.18911607551942675, 'y': -0.36296170630619257, 'z': 0.04681385956420252, 'yaw': 0.0350217593737689, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
