{'time': 1.0185799598693848, 'x': 0.05791788536735765, 'y': -0.203805134275506, 'z': 0.04600715509295276, 'yaw': 0.006731131919267677, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.028531789779663, 'x': 0.05799027310307249, 'y': -0.20371950013414722, 'z': 0.04598371773804945, 'yaw': 0.00836590824581224, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0385642051696777, 'x': 0.05802344517240928, 'y': -0.2037132658834462, 'z': 0.04597734863053972, 'yaw': 0.008445849331942359, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0484888553619385, 'x': 0.05798957800613856, 'y': -0.20373832167463002, 'z': 0.04600811056888913, 'yaw': 0.008042432164179486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0585179328918457, 'x': 0.058015427645831695, 'y': -0.20371686988530555, 'z': 0.04596654539208675, 'yaw': 0.00826690966215563, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.068575143814087, 'x': 0.058000664202388884, 'y': -0.20372109092699064, 'z': 0.04595165486974051, 'yaw': 0.008099132974257767, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.078601360321045, 'x': 0.05797373542920587, 'y': -0.20373166128508252, 'z': 0.0459796933330064, 'yaw': 0.008361907677094983, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0885965824127197, 'x': 0.05799287193158966, 'y': -0.2037174653171078, 'z': 0.045979429553297355, 'yaw': 0.008646873774453667, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0986440181732178, 'x': 0.05799833675226142, 'y': -0.20372594317948903, 'z': 0.045973274180016906, 'yaw': 0.00851290398386144, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1086151599884033, 'x': 0.057939752064684845, 'y': -0.20379733341017214, 'z': 0.04599575351918953, 'yaw': 0.007007530954829863, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1182336807250977, 'x': 0.05800089734819151, 'y': -0.20373744307432, 'z': 0.04602575266857976, 'yaw': 0.008116923159229641, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
