{'time': 1.2875821590423584, 'x': 0.04916198591955515, 'y': -0.21931407097587632, 'z': 0.045975051812900576, 'yaw': -0.004012139113076962, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.297731637954712, 'x': 0.0491758854974569, 'y': -0.21930636937475628, 'z': 0.04596112193236002, 'yaw': -0.004445706864860455, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3079242706298828, 'x': 0.04914921589950123, 'y': -0.21931395876296977, 'z': 0.04597248143946396, 'yaw': -0.004441703749367143, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3171274662017822, 'x': 0.049142083969704244, 'y': -0.21932084122240722, 'z': 0.04598957021629301, 'yaw': -0.004335508539950794, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3276798725128174, 'x': 0.04915853706732043, 'y': -0.21930402863133383, 'z': 0.04598328118157437, 'yaw': -0.00439174003324716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.33695387840271, 'x': 0.04917236163178447, 'y': -0.21930169529992144, 'z': 0.045995672267117024, 'yaw': -0.0044960432286007546, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3479914665222168, 'x': 0.04917636169155072, 'y': -0.2193166562290266, 'z': 0.04597964332761797, 'yaw': -0.004399277669498325, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.358018159866333, 'x': 0.049157420799271836, 'y': -0.2192952145078253, 'z': 0.046007620670036956, 'yaw': -0.004251976142773728, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.368044137954712, 'x': 0.04913753990036822, 'y': -0.21930051492555774, 'z': 0.04599272546432217, 'yaw': -0.004314182257368238, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3777072429656982, 'x': 0.04916159496904532, 'y': -0.21931324652589212, 'z': 0.04596353329312447, 'yaw': -0.00444048585377832, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3877344131469727, 'x': 0.049159273847566964, 'y': -0.21931188812247526, 'z': 0.045963981490180876, 'yaw': -0.0042175002385986815, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.397571325302124, 'x': 0.049171139939034304, 'y': -0.21930122426630533, 'z': 0.045971813835127974, 'yaw': -0.004382786808364791, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4073197841644287, 'x': 0.0491755863287242, 'y': -0.21929979546784475, 'z': 0.045977671924168656, 'yaw': -0.004238667562220577, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4175188541412354, 'x': 0.04915978738396128, 'y': -0.21931397358541144, 'z': 0.046009492367273544, 'yaw': -0.004231371211381507, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4271104335784912, 'x': 0.049160393818664785, 'y': -0.21931367440708388, 'z': 0.04601429951474849, 'yaw': -0.004071120159348851, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4381523132324219, 'x': 0.0491558237532448, 'y': -0.21930143575546007, 'z': 0.045983564812692376, 'yaw': -0.004145944813923386, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4471778869628906, 'x': 0.049146368603432924, 'y': -0.21931985221748515, 'z': 0.04595020471272106, 'yaw': -0.004397067837569324, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4585309028625488, 'x': 0.04917592781973062, 'y': -0.2193126180302365, 'z': 0.04596202565322401, 'yaw': -0.004245918715565011, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4675540924072266, 'x': 0.04915429017391355, 'y': -0.21930704344914093, 'z': 0.045982302956214464, 'yaw': -0.004228991220087686, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
